     0: >>> E[0:00:00]-R[?]: Return=    0.5627, Steps=238.1, Features = 242
   500: >>> E[0:00:00]-R[0:00:05]: Return=   -0.1419, Steps=242.0, Features = 242
  1000: >>> E[0:00:01]-R[0:00:05]: Return=    0.8612, Steps=239.9, Features = 242
  1500: >>> E[0:00:01]-R[0:00:05]: Return=     0.759, Steps=242.0, Features = 242
  2000: >>> E[0:00:01]-R[0:00:05]: Return=     0.759, Steps=242.0, Features = 242
  2500: >>> E[0:00:01]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  3000: >>> E[0:00:02]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  3500: >>> E[0:00:02]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  4000: >>> E[0:00:02]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  4500: >>> E[0:00:03]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  5000: >>> E[0:00:03]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  5500: >>> E[0:00:03]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  6000: >>> E[0:00:03]-R[0:00:02]: Return=     0.759, Steps=242.0, Features = 242
  6500: >>> E[0:00:04]-R[0:00:02]: Return=     0.759, Steps=242.0, Features = 242
  7000: >>> E[0:00:04]-R[0:00:02]: Return=     0.759, Steps=242.0, Features = 242
  7500: >>> E[0:00:04]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  8000: >>> E[0:00:05]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  8500: >>> E[0:00:05]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  9000: >>> E[0:00:05]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  9500: >>> E[0:00:05]-R[0:00:00]: Return=     0.759, Steps=242.0, Features = 242
 10000: >>> E[0:00:06]-R[0:00:00]: Return=     0.759, Steps=242.0, Features = 242
Total Experiment Duration 0:00:06
     0: >>> E[0:00:00]-R[?]: Return=    0.5627, Steps=238.1, Features = 242
   500: >>> E[0:00:00]-R[0:00:05]: Return=   -0.1419, Steps=242.0, Features = 242
  1000: >>> E[0:00:01]-R[0:00:05]: Return=    0.8612, Steps=239.9, Features = 242
  1500: >>> E[0:00:01]-R[0:00:05]: Return=     0.759, Steps=242.0, Features = 242
  2000: >>> E[0:00:01]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  2500: >>> E[0:00:01]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  3000: >>> E[0:00:02]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  3500: >>> E[0:00:02]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  4000: >>> E[0:00:02]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  4500: >>> E[0:00:03]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  5000: >>> E[0:00:03]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  5500: >>> E[0:00:03]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  6000: >>> E[0:00:03]-R[0:00:02]: Return=     0.759, Steps=242.0, Features = 242
  6500: >>> E[0:00:04]-R[0:00:02]: Return=     0.759, Steps=242.0, Features = 242
  7000: >>> E[0:00:04]-R[0:00:02]: Return=     0.759, Steps=242.0, Features = 242
  7500: >>> E[0:00:04]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  8000: >>> E[0:00:04]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  8500: >>> E[0:00:05]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  9000: >>> E[0:00:05]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  9500: >>> E[0:00:05]-R[0:00:00]: Return=     0.759, Steps=242.0, Features = 242
 10000: >>> E[0:00:06]-R[0:00:00]: Return=     0.759, Steps=242.0, Features = 242
Total Experiment Duration 0:00:06
     0: >>> E[0:00:00]-R[?]: Return=    0.5627, Steps=238.1, Features = 242
   500: >>> E[0:00:00]-R[0:00:05]: Return=   -0.1419, Steps=242.0, Features = 242
  1000: >>> E[0:00:01]-R[0:00:05]: Return=    0.8612, Steps=239.9, Features = 242
  1500: >>> E[0:00:01]-R[0:00:05]: Return=     0.759, Steps=242.0, Features = 242
  2000: >>> E[0:00:01]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  2500: >>> E[0:00:01]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  3000: >>> E[0:00:02]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  3500: >>> E[0:00:02]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  4000: >>> E[0:00:02]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  4500: >>> E[0:00:03]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  5000: >>> E[0:00:03]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  5500: >>> E[0:00:03]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  6000: >>> E[0:00:03]-R[0:00:02]: Return=     0.759, Steps=242.0, Features = 242
  6500: >>> E[0:00:04]-R[0:00:02]: Return=     0.759, Steps=242.0, Features = 242
  7000: >>> E[0:00:04]-R[0:00:02]: Return=     0.759, Steps=242.0, Features = 242
  7500: >>> E[0:00:04]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  8000: >>> E[0:00:04]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  8500: >>> E[0:00:05]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  9000: >>> E[0:00:05]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  9500: >>> E[0:00:05]-R[0:00:00]: Return=     0.759, Steps=242.0, Features = 242
 10000: >>> E[0:00:06]-R[0:00:00]: Return=     0.759, Steps=242.0, Features = 242
Total Experiment Duration 0:00:06
     0: >>> E[0:00:00]-R[?]: Return=    0.5627, Steps=238.1, Features = 242
   500: >>> E[0:00:00]-R[0:00:05]: Return=   -0.1419, Steps=242.0, Features = 242
  1000: >>> E[0:00:01]-R[0:00:05]: Return=    0.8612, Steps=239.9, Features = 242
  1500: >>> E[0:00:01]-R[0:00:05]: Return=     0.759, Steps=242.0, Features = 242
  2000: >>> E[0:00:01]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  2500: >>> E[0:00:01]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  3000: >>> E[0:00:02]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  3500: >>> E[0:00:02]-R[0:00:04]: Return=     0.759, Steps=242.0, Features = 242
  4000: >>> E[0:00:02]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  4500: >>> E[0:00:03]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  5000: >>> E[0:00:03]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  5500: >>> E[0:00:03]-R[0:00:03]: Return=     0.759, Steps=242.0, Features = 242
  6000: >>> E[0:00:03]-R[0:00:02]: Return=     0.759, Steps=242.0, Features = 242
  6500: >>> E[0:00:04]-R[0:00:02]: Return=     0.759, Steps=242.0, Features = 242
  7000: >>> E[0:00:04]-R[0:00:02]: Return=     0.759, Steps=242.0, Features = 242
  7500: >>> E[0:00:04]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  8000: >>> E[0:00:04]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  8500: >>> E[0:00:05]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  9000: >>> E[0:00:05]-R[0:00:01]: Return=     0.759, Steps=242.0, Features = 242
  9500: >>> E[0:00:05]-R[0:00:00]: Return=     0.759, Steps=242.0, Features = 242
 10000: >>> E[0:00:06]-R[0:00:00]: Return=     0.759, Steps=242.0, Features = 242
Total Experiment Duration 0:00:06
